1 draft-hoeneisen-enum-x-service-regs-00.txt  switch
2 draft-livingood-enum-voicemsg-00.txt  comcast comcast comcast comcast acmepacket acmepacket acmepacket
1 draft-ietf-btns-c-api-00.txt  hiit hiit
2 draft-tschofenig-ecrit-architecture-overview-00.txt  nsn columbia
4 draft-ietf-netlmm-proxymip6-00.txt  cisco cisco azairenet starentnetworks nsn
1 draft-mase-autoconf-prefix-framework-00.txt  niigata-u niigata-u
1 draft-hautakorpi-p2psip-peer-protocol-00.txt  ericsson ericsson
1 draft-sun-sipping-multiple-reply-00.txt  huawei huawei huawei
1 draft-zhou-emu-fast-gtc-00.txt  cisco cisco
2 draft-ietf-netlmm-pmip6-ipv4-support-00.txt  keio cisco
3 draft-cansever-6lowpan-integration-00.txt  si-intl proto6 mcsr-labs
3 draft-ietf-manet-jitter-00.txt  computer baesystems navy
3 draft-ietf-speermint-consolidated-presence-im-usecases-00.txt  ibm aol microsoft
1 draft-thomson-geopriv-lis-discovery-00.txt  andrew andrew
1 draft-elwell-bliss-ach-analysis-00.txt  siemens
1 draft-muhanna-netlmm-multihoming-support-00.txt  nortel nortel
3 draft-ietf-mip4-nemo-v4-base-00.txt  cisco cisco qualcomm motorola
3 draft-krishnan-mip6-firewall-admin-00.txt  ericsson uni-goettingen a-star
1 draft-hoffman-dac-domainrepdata-00.txt  domain-assurance domain-assurance
3 draft-lear-ietf-syslog-rfc3195bis-00.txt  rr dbc cisco
2 draft-boulton-mediactrl-mrb-00.txt  ubiquitysoftware polycom
1 draft-swallow-mpls-aggregate-fec-00.txt  cisco cisco
4 draft-ietf-mipshop-4140bis-00.txt  elevatemobile inria homeip inria
1 draft-ietf-bliss-problem-statement-00.txt  cisco
1 draft-winterbottom-geopriv-held-context-00.txt  andrew
2 draft-gurbani-sip-ipv6-abnf-fix-00.txt  bell-labs ibm
5 draft-xie-ccamp-lsp-dppm-00.txt  sjtu sjtu ritt ixiacom fiberhome huawei
4 draft-li-p2psip-client-protocol-00.txt  UNKNOWN bupt UNKNOWN bupt
1 draft-droms-dhc-container-opt-00.txt  cisco
3 draft-ietf-krb-wg-cross-problem-statement-00.txt  yokogawa jaist toshiba
1 draft-jiang-p2psip-sep-00.txt  huawei huawei
5 draft-berger-ccamp-asymm-bw-bidir-lsps-00.txt  labn ericsson marconi nortel orange-ft
2 draft-aartsetuijn-nipst-00.txt  utwente alcatel-lucent
1 draft-hdesinen-mmusic-oa-bw-attr-00.txt  qualcomm qualcomm
1 draft-kyungsoo-baroname-urn-00.txt  emgns
3 draft-rosen-sipping-cap-00.txt  brianrosen columbia nsn
6 draft-jounay-pwe3-p2mp-pw-requirements-00.txt  orange-ft orange-ft ntt cisco tellabs uecomm telenor
1 draft-jeyatharan-netlmm-multi-interface-ps-00.txt  panasonic panasonic panasonic
